标题,小区名,房屋详情,关注人数/发布时间,总价,单价,经度,纬度,格式化地址,地址级别
幸福里大三房 好楼层 前排无遮挡 看房预约,华润幸福里 ,3室1厅 | 115.32平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,212万,"18,384元/平",118.888859,32.130680,江苏省南京市栖霞区华润幸福里,住宅区
鼓楼区 小市 带大院子 采光不挡,张王庙80-85号 ,3室1厅 | 76.35平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 1个月以前发布,155万,"20,302元/平",118.776501,32.097353,江苏省南京市鼓楼区张王庙80号,门址
凤凰精装 楼层好 采光不挡 自住精装 楼层好 采光不挡,凤凰和美 ,2室2厅 | 89.07平米 | 南 | 其他 | 中楼层(共34层)  | 板塔结合,4人关注 / 1个月以前发布,270万,"30,314元/平",118.762970,32.007152,江苏省南京市雨花台区凤凰和美,住宅区
新城玖珑湖一期大户型西边户湖景房,新城玖珑湖一期 ,4室2厅 | 134.23平米 | 南 | 其他 | 中楼层(共34层)  | 塔楼,6人关注 / 3个月以前发布,435万,"32,408元/平",118.828629,31.905847,江苏省南京市江宁区新城珑湾花园,住宅区
新城玖珑湖一期 4室1厅 南,新城玖珑湖一期 ,4室1厅 | 133.8平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,3人关注 / 2个月以前发布,460万,"34,380元/平",118.828629,31.905847,江苏省南京市江宁区新城珑湾花园,住宅区
实小电梯三房  南北通透精装  拎包即住  诚售好谈,大华锦绣华城桂美颂 ,3室2厅 | 99.68平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 5个月以前发布,135万,"13,544元/平",,,,
万达旁 东外 岗山佳苑 精装三房 业主置换诚意出售,岗山佳苑 ,3室2厅 | 109.12平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,1人关注 / 26天以前发布,218万,"19,979元/平",118.862104,31.959554,江苏省南京市江宁区岗山佳苑,住宅区
石杨路 银龙花园2室 独立地下室 采光好 出行方便 急售,银龙花园一期南区 ,2室1厅 | 54.64平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,78万,"14,276元/平",118.854818,32.006061,江苏省南京市秦淮区银龙花园一期南区,住宅区
户型方正，南北通透，采光好，视野开阔,翠屏湾花园城 ,2室1厅 | 74.4平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 1个月以前发布,88万,"11,828元/平",118.793822,31.906200,江苏省南京市江宁区翠屏湾花园城,住宅区
满五唯一，小区中间位置，业主急售，视野开阔,学仕风华苑 ,3室2厅 | 98.73平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,152万,"15,396元/平",118.928154,32.124245,江苏省南京市栖霞区学仕风华苑,住宅区
满五唯一南京南站双龙大道地铁口两百米生活设施齐全,三钢生活区 ,2室1厅 | 77.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 2个月以前发布,116万,"14,939元/平",118.815721,31.960859,江苏省南京市江宁区三钢生活区,住宅区
芳凤  近地铁  满五唯一  业主诚心出售,凤凰庄 ,2室1厅 | 49.89平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,158万,"31,670元/平",118.761565,32.042095,江苏省南京市鼓楼区凤凰庄,村庄
中楼层，采光好，业主诚心出售，交通便利，浦外加持,中浦家园 ,2室1厅 | 87.76平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,107万,"12,193元/平",,,,
精装修保养好 无遮挡视野好 业主诚信出售,旭日爱上城第四区北区 ,2室1厅 | 82.85平米 | 南 | 其他 | 高楼层(共23层)  | 塔楼,0人关注 / 21天以前发布,139万,"16,778元/平",118.717181,32.131156,江苏省南京市浦口区旭日爱上城第四区北区(东门),兴趣点
此房满五年 结婚精装修 拎包入住 业主诚心卖,桥北新村 ,3室1厅 | 101.19平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 3个月以前发布,130万,"12,848元/平",118.735569,32.131949,江苏省南京市浦口区桥北新村,村庄
低总价 许府巷 采光好 装修好 中间楼层 品牌家电,新模范马路 ,2室0厅 | 43.84平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,12人关注 / 8个月以前发布,92万,"20,986元/平",118.773982,32.077236,江苏省南京市鼓楼区新模范马路,道路
地铁口近南站 花神美境精装修两房 户型方正 得房率高,花神美境 ,2室2厅 | 89.22平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,279万,"31,272元/平",118.793092,31.982740,江苏省南京市雨花台区花神美境,住宅区
一站河西 中南锦苑 精装修 东边户 采光好  诚心出售,中南锦苑 ,3室2厅 | 110.33平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,11人关注 / 一年前发布,375万,"33,989元/平",118.749694,31.978917,江苏省南京市雨花台区中南锦苑,住宅区
96年出新小区 低楼层 户型方正,岗虹苑 ,2室1厅 | 50.05平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,108万,"21,579元/平",118.807787,32.011053,江苏省南京市秦淮区岗虹苑,住宅区
秦淮河畔虹悦城西城映象满五电梯顶跃南北双露台有车位,西城映象 ,4室2厅 | 167.04平米 | 南 北 | 简装 | 高楼层(共11层)  | 塔楼,1人关注 / 1个月以前发布,580万,"34,723元/平",118.764549,32.016379,江苏省南京市建邺区西城映象,住宅区
出新小区 双南户型 采光很好 得房率高 交通便利,春江新城升景坊 ,2室1厅 | 60.91平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,110万,"18,060元/平",118.747119,31.960022,江苏省南京市雨花台区春江新城升景坊,住宅区
此房有阁楼     阁楼有大露台     满二,新龙佳苑 ,3室2厅 | 109平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,69.8万,"6,404元/平",119.027005,31.647311,江苏省南京市溧水区新龙佳苑,住宅区
适合多类人群选择扬子暖气房，生活配套完善,扬子十六村 ,2室1厅 | 65.83平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,70万,"10,634元/平",118.755745,32.241017,江苏省南京市六合区扬子十六村,村庄
香溢一期 交通方便 满五唯一 精装大两房 拎包入住,新城香溢紫郡 ,2室1厅 | 82.5平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,2人关注 / 一年前发布,100万,"12,122元/平",118.952101,32.201355,江苏省南京市六合区新城社区,村庄
好楼层，视野采光好，拎包入住，小区环境好,弘阳禹洲燕澜新苑 ,3室2厅 | 117.03平米 | 南 | 简装 | 中楼层(共27层)  | 板楼,4人关注 / 2个月以前发布,119万,"10,169元/平",118.593293,31.854441,江苏省南京市江宁区弘阳禹洲燕澜新苑(东门),兴趣点
恒丰世家 有暖气三房两卫 中间楼层 有车位 储藏室,恒丰世家 ,3室2厅 | 114.35平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 30天以前发布,135万,"11,806元/平",118.751300,32.230796,江苏省南京市六合区恒丰世家,住宅区
诚售 扬子五村 低总价 低总价 双南户型 不占用,扬子五村 ,2室1厅 | 58.52平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 26天以前发布,35万,"5,981元/平",118.768657,32.240268,江苏省南京市六合区扬子五村,村庄
恒盛金陵湾 万科物业 精装  不占用 自住精装修 环境好,金陵湾 ,2室1厅 | 95.28平米 | 南 北 | 精装 | 低楼层(共51层)  | 板塔结合,5人关注 / 11个月以前发布,499万,"52,372元/平",118.734762,32.070427,江苏省南京市鼓楼区金陵湾,住宅区
迎江园 不占用 南北通透 采光无遮挡 非顶楼,迎江园 ,2室1厅 | 62.54平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 9个月以前发布,366万,"58,523元/平",118.796624,32.059344,江苏省南京市,市
此房朝南，简装满5年 中楼层不临街，阳光好,五塘新村 ,2室1厅 | 49.57平米 | 东 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,75万,"15,131元/平",118.783436,32.108909,江苏省南京市鼓楼区五塘新村,村庄
近地铁 次新房 23年交付小区 华侨城物业 小区环境好,燕熙台B区 ,3室2厅 | 105.58平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 6个月以前发布,298万,"28,226元/平",118.837377,32.138880,江苏省南京市栖霞区燕熙台(南门),兴趣点
世茂璀璨睿湾 次新房  精装修  河西南岸,世茂璀璨睿湾 ,3室2厅 | 117.74平米 | 东南 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,280万,"23,782元/平",118.704820,31.950767,江苏省南京市雨花台区世茂·璀璨睿湾,住宅区
河西南西善桥岱山新城三室小高层随时看房,西善花苑万福园 ,3室1厅 | 89.32平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,115万,"12,876元/平",118.694188,31.940054,江苏省南京市雨花台区西善花苑万福园,住宅区
全屋定制  地暖  户型方正   全新未入住  次新小区,上东逸境 ,3室2厅 | 89.28平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,149万,"16,690元/平",118.891673,31.968327,江苏省南京市江宁区上东逸境,住宅区
御湖世家97平刚需3房好楼层全天采光刺眼双,万达茂御湖仕家三期 ,3室2厅 | 96.33平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,2人关注 / 9个月以前发布,218万,"22,631元/平",118.988953,32.122039,江苏省南京市栖霞区南京万达茂御湖仕家三期,住宅区
格局好，精装修. 有钥匙看房方便业主诚心,弘阳上院 ,3室1厅 | 76.2平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 10个月以前发布,219万,"28,741元/平",118.898347,31.928404,江苏省南京市江宁区弘阳上院,住宅区
此房户型方正，出行便利，生活设施齐全,莫愁花园海棠里 ,3室2厅 | 96.44平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,280万,"29,034元/平",118.742939,32.040713,江苏省南京市鼓楼区莫愁街道海棠里,住宅区
业主急售 朝南户型 油坊桥地铁口 5.2米挑高大两房,七彩星城 ,2室1厅 | 42.18平米 | 南 | 其他 | 高楼层(共21层)  | 塔楼,1人关注 / 19天以前发布,83万,"19,678元/平",118.724646,31.965190,江苏省南京市雨花台区七彩星城,住宅区
河西中部 2号地铁兴隆大街地铁口 欧洲城凯旋丽都 两房,欧洲城凯旋丽都花园 ,2室2厅 | 94.17平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 10个月以前发布,335万,"35,574元/平",118.736091,32.012538,江苏省南京市建邺区欧洲城凯旋丽都花园,住宅区
望江春和园 新交付小区 人车分流 环境好,望江春和园 ,3室2厅 | 109.6平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 29天以前发布,75万,"6,844元/平",118.594968,32.009704,江苏省南京市浦口区望江春和园(建设中),住宅区
顶楼阁楼露台都有得房率高 采光好 南北通透视野开阔,爱秦湾 ,4室2厅 | 93.22平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 24天以前发布,188万,"20,168元/平",118.828402,31.961771,江苏省南京市江宁区爱秦湾,住宅区
明厨明卫，中间楼层，装修好，人群素质高,后标营 ,2室1厅 | 50.42平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 4个月以前发布,110万,"21,817元/平",118.827420,32.035700,江苏省南京市玄武区后标营,村庄
恒大湖景房 双阳台  格局方正 采光好,恒大金碧天下天鸿苑 ,3室2厅 | 114.78平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,49.8万,"4,339元/平",119.065631,31.700552,江苏省南京市溧水区恒大金碧天下天鸿苑,住宅区
铁心桥两房复式 业主诚心卖 配套完善,万科金色城品 ,2室1厅 | 68.5平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,1人关注 / 4个月以前发布,161万,"23,504元/平",118.759980,31.959635,江苏省南京市雨花台区万科·金色城品,住宅区
月牙湖郑和外校 两房厨卫全明 小区中间位置 楼层好,富丽山庄 ,2室1厅 | 51.79平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,126万,"24,330元/平",118.834545,32.026970,江苏省南京市秦淮区富丽山庄,村庄
育才公寓西片2-1-1-1 66.84m2,育才公寓西片 ,2室1厅 | 66.84平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,350万,"52,364元/平",118.729552,32.046042,江苏省南京市鼓楼区育才公寓西片,住宅区
六合城芯，雄州地铁口，欢乐港，龙湖天街,华城名府 ,3室1厅 | 99.59平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,115万,"11,548元/平",118.837458,32.331291,江苏省南京市六合区华城名府,住宅区
近地铁社区成熟，弘阳商圈成熟，户型方正 精装三房。,弘阳旭日上城三区 ,3室1厅 | 129.23平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,240万,"18,572元/平",118.725499,32.141179,江苏省南京市浦口区弘阳·旭日上城三区,住宅区
银城聚锦园 品质小区 不占 人车分流,银城聚锦园 ,3室2厅 | 85.96平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,10人关注 / 2个月以前发布,598万,"69,568元/平",118.736935,32.043811,江苏省南京市鼓楼区银城聚锦园(东门),兴趣点
此房为复试 上下两屋 得房率高 买一层享受2层使用面积,蓝岸尚城 ,2室1厅 | 51.73平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,139.5万,"26,967元/平",118.758402,31.961874,江苏省南京市雨花台区蓝岸·尚城,住宅区
空港新城 银城天荟 开发商精装修 带地暖 小区环境好,银城孔雀城天荟 ,3室2厅 | 88.67平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,60万,"6,767元/平",118.905595,31.322578,江苏省南京市高淳区孔雀城(公交站),公交地铁站点
江月府 国资委打造 电梯洋房 精装修 诚心卖 可谈,江月府 ,4室2厅 | 142.01平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 2个月以前发布,330万,"23,238元/平",118.720287,32.108429,江苏省南京市浦口区江月府,住宅区
70年产权 满二 采光好 低首付 中间楼层 楼龄新 地铁口,银龙鑫苑 ,2室1厅 | 73.73平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,2人关注 / 2个月以前发布,116万,"15,734元/平",118.866042,32.003810,江苏省南京市秦淮区银龙鑫苑,住宅区
仙林湖万科精装三房飞机户型诚心卖看房方便,万科金色领域 ,3室1厅 | 88.28平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 7个月以前发布,190万,"21,523元/平",118.983628,32.133179,江苏省南京市栖霞区万科金色领域,住宅区
小区2016-2017年商品房小区，小区人车分流，招商物业,招商依云华府 ,4室1厅 | 121.28平米 | 南 北 | 其他 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,315万,"25,973元/平",118.832055,32.122582,江苏省南京市栖霞区招商依云华府(西门),兴趣点
此房边户大两房，两个卧室很大，业主诚心出售随时看房,盛泰嘉园 ,2室1厅 | 81.65平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,78万,"9,553元/平",118.702335,32.126749,江苏省南京市浦口区盛泰嘉园,住宅区
万科金色城品复式两房铁心桥地铁站边上,万科金色城品 ,2室1厅 | 69.36平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,19人关注 / 5个月以前发布,145万,"20,906元/平",118.759980,31.959635,江苏省南京市雨花台区万科·金色城品,住宅区
新空 地铁口 中间楼层 采光好  视野棒 满两年 诚售,鲁能公馆 ,3室2厅 | 88.2平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 1个月以前发布,366万,"41,497元/平",118.690488,31.963697,江苏省南京市建邺区秦新名邸,住宅区
宏图 好房业主诚售 有产权车位  看房方便,宏图上水云锦二期 ,3室2厅 | 129.68平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,9人关注 / 2个月以前发布,830万,"64,004元/平",118.742354,32.014942,江苏省南京市建邺区宏图·上水云锦,住宅区
：集庆门大街地铁口 金地物业 精装修三房 业主诚心卖,金地名京 ,3室2厅 | 87.61平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 14天以前发布,399万,"45,543元/平",118.744764,32.025609,江苏省南京市建邺区金地名京,住宅区
诚售万达吾悦金鹰商圈 精装全明通透三房 楼层好,万达西地二期 ,3室2厅 | 113.65平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,9人关注 / 4个月以前发布,400万,"35,196元/平",118.735448,32.030345,江苏省南京市建邺区万达西地,住宅区
虹悦城商圈 银城物业 满五年，精装修，楼层好，位置佳,时光澔韵 ,2室1厅 | 83.32平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,49人关注 / 一年前发布,228万,"27,365元/平",118.752855,31.985735,江苏省南京市雨花台区时光澔韵,住宅区
江心洲低密度花园洋房精装修价格可谈有钥匙,升龙公园道桂园 ,3室2厅 | 86.69平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,375万,"43,258元/平",118.713593,32.044003,江苏省南京市建邺区升龙公园道桂园,住宅区
新城香悦澜山 出租装修 东边户 采光好 配套齐全 满5年,新城香悦澜山 ,4室2厅 | 121.35平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,19人关注 / 一年前发布,288万,"23,734元/平",118.975678,32.126251,江苏省南京市栖霞区新城·香悦澜山,住宅区
莱蒙水榭阳光 经典边户两房 通透户型 精装自住 诚售,水榭阳光花园 ,2室1厅 | 74.45平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,3人关注 / 10个月以前发布,190万,"25,521元/平",118.888088,31.324930,江苏省南京市高淳区阳光花园,住宅区
地铁站旁边精装洋房，拎包入住中间楼层，带产权车位。,宝龙世家 ,4室2厅 | 117.44平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 2个月以前发布,115万,"9,793元/平",118.796624,32.059344,江苏省南京市,市
金陵华兴 满五唯一 社区配套齐全 看房方便,富力尚悦居一期 ,3室1厅 | 102.64平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,2人关注 / 2个月以前发布,180万,"17,538元/平",118.675524,31.917134,江苏省南京市雨花台区富力尚悦居一期,住宅区
精装交付，户型方正，万科物业，高品质小区,万科金域东方 ,3室2厅 | 89.31平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 3个月以前发布,118.5万,"13,269元/平",118.941886,31.927640,江苏省南京市江宁区万科金域东方,住宅区
地铁口 工人新村 3楼 精装修 南北两房 采光好 拎包住,工人新村 ,2室1厅 | 55.21平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4天以前发布,138万,"24,996元/平",118.779157,32.079997,江苏省南京市鼓楼区工人新村,村庄
双南户型 景观楼层 高价比两房 可看房,文鼎雅苑 ,2室1厅 | 86.85平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,3人关注 / 7个月以前发布,130万,"14,969元/平",118.911415,31.909148,江苏省南京市江宁区文鼎雅苑,住宅区
小区绿化好，爬楼方便，诚心出售,御水湾花园 ,2室1厅 | 88.6平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 1个月以前发布,285万,"32,168元/平",,,,
天润城泰冯路双地铁 精装修 领包入住 诚心出售！,天润城第十六街区南区 ,3室2厅 | 88.98平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,165万,"18,544元/平",118.725845,32.148362,江苏省南京市浦口区天润城第十六街区南区,未知
银城花园南 银城汇文 南北两房 诚心出售 价格有空间,银城花园南片 ,2室1厅 | 51.32平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 9个月以前发布,280万,"54,560元/平",118.731093,32.052453,江苏省南京市鼓楼区银城花园,住宅区
紫金山脚下  徽派低密度花园电梯洋房，业主诚售,紫园 ,3室1厅 | 137.94平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,25人关注 / 一年前发布,430万,"31,173元/平",118.888963,32.051573,江苏省南京市栖霞区紫园,住宅区
新街口 金鹰商场 户型方正 中间楼层 教职工房改房,三茅巷 ,3室1厅 | 69.66平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,10人关注 / 6个月以前发布,196万,"28,137元/平",118.777696,32.038292,江苏省南京市秦淮区三茅巷,道路
此房为两室一厅一厨一卫，两个房间朝南，采光好，,晏公庙新村 ,2室1厅 | 53.59平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,102万,"19,034元/平",118.862016,32.032784,江苏省南京市玄武区晏公庙新村,村庄
新林芳庭 莲花湖旁 ，配套齐全 业主诚心出售 看房方便,新林芳庭 ,3室2厅 | 86.59平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 8个月以前发布,83万,"9,586元/平",,,,
东渡新上边户三房 视野开阔观河景环境好满5唯一,东渡国际青年城 ,3室1厅 | 111.91平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,18人关注 / 一年前发布,275万,"24,574元/平",118.838987,31.931975,江苏省南京市江宁区东渡国际青年城,住宅区
恒大绿洲精装三房 中间楼层 业主诚售 看房方便,南京恒大绿洲 ,3室2厅 | 126.97平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,7人关注 / 1个月以前发布,290万,"22,841元/平",118.841888,31.915079,江苏省南京市江宁区南京恒大绿洲,住宅区
滨江馨园 满五 地铁口楼栋位置好 前后无遮挡看房方便,滨江馨园 ,3室2厅 | 103.11平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,118万,"11,445元/平",118.625150,32.040225,江苏省南京市浦口区滨江馨园,住宅区
诚售不临街带车位 双南中高楼层电梯三房 敞亮安静户型,云谷山庄 ,3室2厅 | 82.69平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,7人关注 / 一年前发布,203万,"24,550元/平",118.786796,32.115550,江苏省南京市鼓楼区云谷山庄,村庄
南部新城 商品房 精装电梯好楼层 边户 急卖,居易时代 ,2室1厅 | 57.02平米 | 南 北 | 简装 | 低楼层(共10层)  | 塔楼,1人关注 / 18天以前发布,188万,"32,971元/平",118.794529,31.999814,江苏省南京市秦淮区居易时代,住宅区
浦泰三期 下桥口 方正户型 生活方便 交通便利,浦泰和天下三期 ,2室2厅 | 72.42平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 11个月以前发布,126万,"17,399元/平",118.739062,32.134277,江苏省南京市浦口区浦泰和天下三期,住宅区
南北户型 带储藏室 不临街 安静舒适一梯两户 精装修,蓝天园 ,2室1厅 | 57.38平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 6个月以前发布,258万,"44,964元/平",118.747304,32.053299,江苏省南京市鼓楼区蓝天园,住宅区
绿洲南苑(雨花台) 3室2厅 南,绿洲南苑(雨花台) ,3室2厅 | 88.77平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,1人关注 / 1个月以前发布,85万,"9,576元/平",118.639338,31.897224,江苏省南京市雨花台区绿洲南苑,住宅区
精装修 拎包入住 中间楼层 视野开阔 不占用,金陵湾 ,2室2厅 | 100.13平米 | 南 | 其他 | 中楼层(共55层)  | 板塔结合,9人关注 / 一年前发布,470万,"46,939元/平",118.734762,32.070427,江苏省南京市鼓楼区金陵湾,住宅区
次新房 开发商装修 二次装修20万 位置好 采光无遮挡,融信儒林花园 ,3室2厅 | 88.66平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 16天以前发布,250万,"28,198元/平",,,,
江北新区天润城二街区居家装修诚心出售,天润城第二街区 ,2室2厅 | 90.61平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 8个月以前发布,109万,"12,030元/平",118.738653,32.147762,江苏省南京市浦口区天润城第二街区,住宅区
楼龄新，户型好，功能间全，居住舒适度高,禹洲嘉荟星岛 ,3室2厅 | 107.02平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,2人关注 / 30天以前发布,300万,"28,033元/平",118.749585,31.962536,江苏省南京市雨花台区禹洲雍禧华府,住宅区
育才公寓西片2-1-1-1 66.84m2,育才公寓西片 ,2室1厅 | 66.84平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 3个月以前发布,350万,"52,364元/平",118.729552,32.046042,江苏省南京市鼓楼区育才公寓西片,住宅区
月牙湖郑和外校 两房厨卫全明 小区中间位置 楼层好,富丽山庄 ,2室1厅 | 51.79平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 3个月以前发布,126万,"24,330元/平",,,,
万科金色城品复式两房铁心桥地铁站边上,万科金色城品 ,2室1厅 | 69.36平米 | 南 | 其他 | 低楼层(共8层)  | 板楼,19人关注 / 5个月以前发布,145万,"20,906元/平",118.759980,31.959635,江苏省南京市雨花台区万科·金色城品,住宅区
恒大湖景房 双阳台  格局方正 采光好,恒大金碧天下天鸿苑 ,3室2厅 | 114.78平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,49.8万,"4,339元/平",119.065631,31.700552,江苏省南京市溧水区恒大金碧天下天鸿苑,住宅区
不临街 中间楼层 地铁口 精装修直接拎包入住,莫愁新寓迎春里 ,2室1厅 | 57.28平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,3人关注 / 2个月以前发布,168万,"29,330元/平",118.755121,32.038560,江苏省南京市鼓楼区莫愁新寓迎春里,住宅区
温馨小两房给您一个温馨的家！凤仪西园采光视野好,凤仪西园 ,2室1厅 | 56.99平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,5人关注 / 2个月以前发布,73万,"12,810元/平",118.846719,32.113491,江苏省南京市栖霞区凤仪西园,住宅区
江月府 国资委打造 电梯洋房 精装修 诚心卖 可谈,江月府 ,4室2厅 | 142.01平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,5人关注 / 2个月以前发布,330万,"23,238元/平",118.720287,32.108429,江苏省南京市浦口区江月府,住宅区
空港新城 银城天荟 开发商精装修 带地暖 小区环境好,银城孔雀城天荟 ,3室2厅 | 88.67平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,60万,"6,767元/平",118.905595,31.322578,江苏省南京市高淳区孔雀城(公交站),公交地铁站点
此房为复试 上下两屋 得房率高 买一层享受2层使用面积,蓝岸尚城 ,2室1厅 | 51.73平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,139.5万,"26,967元/平",118.758402,31.961874,江苏省南京市雨花台区蓝岸·尚城,住宅区
银城聚锦园 品质小区 不占 人车分流,银城聚锦园 ,3室2厅 | 85.96平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,10人关注 / 2个月以前发布,598万,"69,568元/平",118.736935,32.043811,江苏省南京市鼓楼区银城聚锦园(东门),兴趣点
天印大道地铁口 满五年唯一 精装三房 楼层佳 换房出售,书香名门 ,3室2厅 | 95.27平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,169万,"17,740元/平",118.863843,31.939673,江苏省南京市江宁区书香名门(东南门),兴趣点
